word;total;ge_std;co_std;male;female;unknown;ar;cl;co;es;mx;pe;ve
#boy;1210;340.811;243.274;635;12;563;205;71;24;12;36;163;699
jugador;1368;375.549;66.927;869;135;364;236;133;302;228;109;202;158
clientes;887;120.674;44.271;394;161;332;42;151;115;149;128;118;184
#alicante;509;142.311;189.751;276;8;225;0;0;0;503;0;6;0
@cfkargentina;578;104.006;168.021;304;98;176;461;11;25;4;2;15;60
podemos;3970;531.573;309.152;1704;716;1550;396;388;487;1181;364;368;786
jardin;1315;189.753;99.102;609;234;472;152;227;188;113;392;125;118
grito;627;77.272;18.591;248;120;259;113;68;92;75;116;79;84
ay;6846;546.067;306.481;2017;1919;2910;1063;598;1213;753;1259;1317;643
#love;4467;210.402;160.605;1517;1266;1684;430;630;540;691;569;663;944
santander;623;93.778;115.912;297;110;216;7;71;323;154;53;6;9
#foodporn;658;162.488;131.494;359;41;258;32;44;39;388;31;93;31
oro;2096;319.428;109.052;857;331;908;175;213;356;373;228;268;483
seis;777;98.727;24.152;292;148;337;96;133;97;152;82;114;103
soundtrack;641;146.678;121.066;378;96;167;33;52;39;27;364;72;54
detras;1421;196.927;79.454;621;250;550;108;138;259;286;156;166;308
necesita;2940;350.629;137.256;1281;595;1064;329;316;595;369;316;376;639
tormenta;749;69.212;52.370;284;170;295;204;72;77;148;113;61;74
#maracaibo;1157;295.947;427.653;609;50;498;0;0;18;1;0;3;1135
hemos;3060;345.132;497.217;1144;630;1286;89;242;242;1543;238;285;421
angeles;1208;119.818;148.785;494;267;447;84;430;83;80;343;75;113
victimas;755;144.091;61.705;418;165;172;45;89;195;153;60;49;164
crack;1557;394.375;197.486;931;145;481;542;150;208;454;48;91;64
escribe;1022;130.355;24.125;377;196;449;161;114;143;122;143;153;186
#design;545;205.257;63.915;418;48;79;77;33;24;52;136;30;193
@davidzepeda1;969;553.392;365.807;2;5;962;0;0;0;0;968;1;0
punta;2014;248.776;167.597;772;388;854;283;639;181;217;160;343;191
seria;6625;813.492;78.966;2675;1269;2681;1014;1008;983;954;781;954;931
9637857;765;441.673;289.143;0;0;765;0;0;0;765;0;0;0
abril;1528;232.711;67.500;571;252;705;142;234;217;298;128;209;300
take;921;80.852;57.294;378;219;324;65;125;105;155;193;210;68
pies;1438;108.795;36.290;505;360;573;203;161;181;274;217;186;216
suenyos;3955;260.010;224.297;1321;1057;1577;363;330;986;492;478;643;663
fe;4638;434.497;339.891;1940;1080;1618;851;326;1143;179;624;584;931
grupo;4461;671.411;129.530;2066;751;1644;720;424;622;620;651;847;577
tengas;2257;240.521;151.817;756;510;991;231;516;255;191;562;290;212
